Driver,LapNumber,LapTime,Stint,TyreLife,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Team_ALFA ROMEO,Team_ALPHATAURI,Team_ALPINE,Team_ASTON MARTIN,Team_FERRARI,Team_HAAS F1 TEAM,Team_MCLAREN,Team_MERCEDES,Team_RED BULL RACING,Team_WILLIAMS,Compound_HARD,Compound_MEDIUM,Compound_SOFT,FreshTyre_FALSE,FreshTyre_TRUE,TrackStatus_1,TrackStatus_12,TrackStatus_126,TrackStatus_21,TrackStatus_2671,TrackStatus_671,Rainfall_FALSE,IsPersonalBest_FALSE,IsPersonalBest_TRUE
18,-1.6556556446953206,-0.0911876319609733,-1.3812162141824724,-0.9787285854271865,-0.18152168480631803,-0.9205977743102588,-0.9535868768486745,-1.3386786495521015,-2.1306908839921417,1.6781422919534423,1.7610019590425439,2.430961030132826,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False
18,-1.5941081920824396,-0.6006474325555261,-1.3812162141824724,-0.8102988231523832,-0.1887832863889367,-0.7969157893727631,-0.33780402658467956,-1.3386786495521015,-1.2300891312019397,1.6781422919534423,1.62456536751799,2.430961030132826,-1.762476595917336,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,False,True
18,-1.5325607394695586,-0.585046749666508,-1.3812162141824724,-0.6418690608775799,-0.0774387287887808,-0.8450143390706754,-0.29258920191494414,-1.3386786495521015,-1.3224585417445245,1.6781422919534423,1.7610019590425439,2.430961030132826,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.4710132868566774,-0.5996723898749646,-1.3812162141824724,-0.4734392986027766,-0.3606411905109006,-0.6072700791352547,-0.47775467437195324,-1.3386786495521015,-1.1377197206593548,1.6781422919534423,1.7610019590425439,2.430961030132826,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.4094658342437965,-0.5709086307983356,-1.3812162141824724,-0.3050095363279733,-0.4259956047544687,-0.4945820484144293,-0.4691423268158106,-1.3386786495521015,-1.04535031011677,1.3716256510235767,1.4881287759934312,2.430961030132826,1.7033441099406126,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.3479183816309155,-0.5947971764721435,-1.3812162141824724,-0.13657977405316998,-0.19120382024980387,-0.6210125219060951,-0.5854090188236939,-0.9764095780431952,-0.9529808995741851,1.065109010093722,1.4881287759934312,2.430961030132826,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.2863709290180345,-0.5777339295622798,-1.3812162141824724,0.03184998822163333,-0.31465104715432135,-0.440986521608177,-0.6822979288302697,-0.9764095780431952,-0.7682420784890154,1.065109010093722,1.3516921844688725,2.430961030132826,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.2248234764051535,-0.5128935913047935,-1.3812162141824724,0.20027975049643665,-0.3122305132934456,-0.3447894222123426,-0.5488065417101011,-0.9764095780431952,-0.7682420784890154,1.065109010093722,1.3516921844688725,-0.27438062259938295,1.7033441099406126,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.1632760237922724,-0.4524409451098373,-1.3812162141824724,0.3687095127712399,-0.20330648955417405,-0.3585318649831733,-0.35718180858599474,-0.9764095780431952,-0.7682420784890154,1.065109010093722,1.3516921844688725,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.1017285711793914,-0.40807650314419025,-1.3812162141824724,0.5371392750460433,-0.14279314303234888,-0.27470296408108946,-0.34641637414082216,-0.9764095780431952,-0.7682420784890154,1.065109010093722,1.2152555929443185,-0.27438062259938295,1.2701165217083694,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-1.0401811185665104,-0.3524990703520552,-1.3812162141824724,0.7055690373208465,-0.1887832863889367,-0.14552400203525365,-0.26244598546845643,-1.3386786495521015,-0.8606114890316002,1.3716256510235767,0.9423824098952058,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.9786336659536293,-0.2998467656016184,-1.3812162141824724,0.8739987995956499,-0.029028051571325823,-0.18262859751650531,-0.11388299012504781,-1.3386786495521015,-0.6758726679464305,1.065109010093722,0.9423824098952058,-0.27438062259938295,1.2701165217083694,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.9170862133407484,-0.35298659169233937,-1.3812162141824724,1.0424285618704532,-0.07501819492791363,-0.24309534570817792,-0.21292498702065357,-1.3386786495521015,-0.8606114890316002,1.065109010093722,0.805945818370647,-0.27438062259938295,1.7033441099406126,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.8555387607278674,1.0184109385205562,-1.3812162141824724,1.2108583241452564,0.016962091785253396,-0.2856969182977599,2.340636063374782,-0.2518714350253829,-0.8606114890316002,1.065109010093722,0.805945818370647,-0.27438062259938295,1.2701165217083694,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.7939913081149863,2.3297214635437054,-0.3797157977133944,-1.4840178722515964,2.4374959526580366,-0.6251352547373453,-0.839473271729821,-0.9764095780431952,-2.1306908839921417,1.065109010093722,0.805945818370647,-0.27438062259938295,1.2701165217083694,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.7324438555021053,-0.6849886244242902,-0.3797157977133944,-1.3155881099767932,-0.510714289885017,-0.5124472240165102,-0.8696164881763088,-0.6141405065342891,-1.3224585417445245,0.7585923691638562,0.805945818370647,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
18,-0.6708964028892243,-0.7595793894874188,-0.3797157977133944,-1.1471583477019898,-0.6051151104590512,-0.6333807203998456,-0.9255967472912167,-0.6141405065342891,-0.7682420784890154,0.7585923691638562,0.5330726353215343,-2.979722275331592,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
18,-0.6093489502763433,-0.7761551150569983,-0.3797157977133944,-0.9787285854271865,-0.5058732221632741,-0.7075899113623392,-0.9708115719609521,-0.6141405065342891,-1.4148279522871094,0.7585923691638562,0.5330726353215343,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
